Truck Location,Date,Number of Sales, Sales total ,Daily Supply cost
Union Station,09-Feb-19,225," $1,327.50 ", $483.75 
Union Station,10-Feb-19,244," $1,366.40 ", $378.20 
Union Station,11-Feb-19,229," $1,122.10 ", $217.55 
Union Station,12-Feb-19,252," $1,310.40 ", $541.80 
Union Station,13-Feb-19,64, $307.20 , $163.20 
Union Station,14-Feb-19,159, $667.80 , $310.05 
Union Station,15-Feb-19,8, $37.60 , $7.60 
Union Station,16-Feb-19,96, $432.00 , $264.00 
Union Station,17-Feb-19,72, $144.00 , $169.20 
Union Station,18-Feb-19,96, $201.60 , $187.20 
Union Station,19-Feb-19,51, $193.80 , $124.95 
Union Station,20-Feb-19,97, $261.90 , $150.35 
Union Station,21-Feb-19,10, $32.00 , $25.50 
Union Station,22-Feb-19,157, $345.40 , $211.95 
Union Station,23-Feb-19,185, $647.50 , $268.25 
Union Station,24-Feb-19,154, $800.80 , $284.90 
Union Station,25-Feb-19,75, $225.00 , $191.25 
Union Station,26-Feb-19,154, $924.00 , $377.30 
Union Station,27-Feb-19,209, $773.30 , $219.45 
Union Station,28-Feb-19,61, $353.80 , $100.65 
Union Station,01-Mar-19,104, $520.00 , $182.00 
Union Station,02-Mar-19,269," $1,076.00 ", $551.45 
Union Station,03-Mar-19,289, $867.00 , $216.75 
Union Station,04-Mar-19,286, $800.80 , $271.70 
Union Station,05-Mar-19,174, $661.20 , $426.30 
Union Station,06-Mar-19,236, $472.00 , $413.00 
Union Station,07-Mar-19,210, $483.00 , $178.50 
Union Station,08-Mar-19,161, $499.10 , $233.45 
Union Station,09-Mar-19,160, $320.00 , $424.00 
Union Station,10-Mar-19,259," $1,165.50 ", $194.25 
Union Station,11-Mar-19,82, $188.60 , $86.10 
Union Station,12-Mar-19,43, $219.30 , $113.95 
Union Station,13-Mar-19,153, $382.50 , $160.65 
Union Station,14-Mar-19,261, $600.30 , $378.45 
Union Station,15-Mar-19,243," $1,433.70 ", $182.25 
Union Station,16-Mar-19,60, $210.00 , $123.00 
Union Station,17-Mar-19,13, $41.60 , $25.35 
Union Station,18-Mar-19,239, $621.40 , $609.45 
Union Station,19-Mar-19,119, $547.40 , $160.65 
Union Station,20-Mar-19,143, $343.20 , $178.75 
Union Station,21-Mar-19,78, $444.60 , $175.50 
Union Station,22-Mar-19,41, $237.80 , $112.75 
Union Station,23-Mar-19,79, $347.60 , $90.85 
Union Station,24-Mar-19,217, $781.20 , $292.95 
Union Station,25-Mar-19,212, $466.40 , $180.20 
Union Station,26-Mar-19,48, $144.00 , $84.00 
Union Station,27-Mar-19,162, $842.40 , $267.30 
Union Station,28-Mar-19,121, $520.30 , $284.35 
Union Station,29-Mar-19,124, $260.40 , $204.60 
Union Station,30-Mar-19,229, $664.10 , $400.75 
Union Station,31-Mar-19,173, $363.30 , $181.65 
Union Station,01-Apr-19,139, $500.40 , $145.95 
Union Station,02-Apr-19,251, $602.40 , $263.55 
Union Station,03-Apr-19,267, $987.90 , $493.95 
Union Station,04-Apr-19,155, $775.00 , $178.25 
Union Station,05-Apr-19,108, $583.20 , $81.00 
Union Station,06-Apr-19,115, $678.50 , $270.25 
Union Station,07-Apr-19,263, $736.40 , $591.75 
Union Station,08-Apr-19,281," $1,124.00 ", $210.75 
Union Station,09-Apr-19,85, $442.00 , $233.75 
Union Station,10-Apr-19,231," $1,247.40 ", $635.25 
Union Station,11-Apr-19,272," $1,196.80 ", $720.80 
Union Station,12-Apr-19,155, $403.00 , $162.75 
Union Station,13-Apr-19,47, $282.00 , $110.45 
Union Station,14-Apr-19,152, $395.20 , $129.20 
Union Station,15-Apr-19,90, $504.00 , $211.50 
Union Station,16-Apr-19,150, $300.00 , $262.50 
Union Station,17-Apr-19,140, $840.00 , $161.00 
Union Station,18-Apr-19,62, $142.60 , $77.50 
Union Station,19-Apr-19,245, $882.00 , $208.25 
Union Station,20-Apr-19,119, $476.00 , $327.25 
Union Station,21-Apr-19,187, $504.90 , $402.05 
Union Station,22-Apr-19,136, $625.60 , $210.80 
Union Station,23-Apr-19,261," $1,200.60 ", $195.75 
Union Station,24-Apr-19,189, $982.80 , $160.65 
Union Station,25-Apr-19,232," $1,090.40 ", $382.80 
Union Station,26-Apr-19,208, $686.40 , $364.00 
Union Station,27-Apr-19,99, $366.30 , $222.75 
Union Station,28-Apr-19,259, $673.40 , $375.55 
Union Station,29-Apr-19,254," $1,143.00 ", $698.50 
Union Station,30-Apr-19,252," $1,033.20 ", $567.00 
Union Station,01-May-19,284," $1,476.80 ", $525.40 
Union Station,02-May-19,246, $984.00 , $651.90 
Union Station,03-May-19,86, $404.20 , $167.70 
Union Station,04-May-19,132, $488.40 , $138.60 
Union Station,05-May-19,39, $171.60 , $40.95 
Union Station,06-May-19,114, $649.80 , $96.90 
Union Station,07-May-19,161, $402.50 , $152.95 
Union Station,08-May-19,46, $105.80 , $126.50 
Union Station,09-May-19,139, $667.20 , $326.65 
Union Station,10-May-19,12, $69.60 , $27.00 
Union Station,11-May-19,193, $405.30 , $241.25 
Union Station,12-May-19,258, $619.20 , $657.90 
Union Station,13-May-19,98, $490.00 , $191.10 
Union Station,14-May-19,106, $519.40 , $270.30 
Union Station,15-May-19,197, $650.10 , $344.75 
Union Station,16-May-19,46, $257.60 , $126.50 
Union Station,17-May-19,123, $688.80 , $202.95 
Union Station,18-May-19,103, $453.20 , $77.25 
Union Station,19-May-19,245, $563.50 , $649.25 
Union Station,20-May-19,61, $189.10 , $76.25 
Union Station,21-May-19,156, $904.80 , $195.00 
Union Station,22-May-19,124, $446.40 , $142.60 
Union Station,23-May-19,249," $1,020.90 ", $435.75 
Union Station,24-May-19,120, $660.00 , $114.00 
Union Station,25-May-19,180, $882.00 , $315.00 
Union Station,26-May-19,98, $215.60 , $181.30 
Union Station,27-May-19,253, $834.90 , $619.85 
Union Station,28-May-19,148, $606.80 , $347.80 
Union Station,29-May-19,125, $375.00 , $318.75 
Union Station,30-May-19,46, $253.00 , $85.10 
Union Station,31-May-19,7, $38.50 , $16.45 
Union Station,01-Jun-19,221," $1,281.80 ", $276.25 
Union Station,02-Jun-19,141, $380.70 , $289.05 
Union Station,03-Jun-19,112, $481.60 , $308.00 
Union Station,04-Jun-19,66, $224.40 , $89.10 
Union Station,05-Jun-19,7, $28.00 , $10.85 
Union Station,06-Jun-19,188, $921.20 , $235.00 
Union Station,07-Jun-19,250, $800.00 , $462.50 
Union Station,08-Jun-19,288," $1,324.80 ", $705.60 
Union Station,09-Jun-19,22, $90.20 , $49.50 
Union Station,10-Jun-19,186, $632.40 , $325.50 
Union Station,11-Jun-19,175, $647.50 , $148.75 
Union Station,12-Jun-19,213," $1,235.40 ", $287.55 
Union Station,13-Jun-19,52, $114.40 , $49.40 
Union Station,14-Jun-19,149, $372.50 , $201.15 
Union Station,15-Jun-19,21, $92.40 , $32.55 
Union Station,16-Jun-19,215, $666.50 , $548.25 
Union Station,17-Jun-19,110, $418.00 , $126.50 
Union Station,18-Jun-19,166, $398.40 , $224.10 
Union Station,19-Jun-19,103, $278.10 , $180.25 
Union Station,20-Jun-19,88, $211.20 , $74.80 
Union Station,21-Jun-19,286, $600.60 , $271.70 
Union Station,22-Jun-19,73, $328.50 , $91.25 
Union Station,23-Jun-19,41, $147.60 , $104.55 
Union Station,24-Jun-19,45, $94.50 , $92.25 
Union Station,25-Jun-19,123, $246.00 , $239.85 
Union Station,26-Jun-19,33, $194.70 , $64.35 
Union Station,27-Jun-19,242, $484.00 , $447.70 
Union Station,28-Jun-19,78, $452.40 , $66.30 
Union Station,29-Jun-19,190, $399.00 , $408.50 
Union Station,30-Jun-19,93, $223.20 , $209.25 
Union Station,01-Jul-19,119, $642.60 , $208.25 
Union Station,02-Jul-19,185," $1,110.00 ", $231.25 
Union Station,03-Jul-19,230," $1,265.00 ", $195.50 
Union Station,04-Jul-19,86, $197.80 , $184.90 
Union Station,05-Jul-19,272, $788.80 , $503.20 
Union Station,06-Jul-19,94, $545.20 , $202.10 
Union Station,07-Jul-19,62, $322.40 , $77.50 
Union Station,08-Jul-19,214, $727.60 , $545.70 
Union Station,09-Jul-19,250, $500.00 , $187.50 
Union Station,10-Jul-19,129, $451.50 , $122.55 
Union Station,11-Jul-19,169, $929.50 , $414.05 
Union Station,12-Jul-19,250, $550.00 , $537.50 
Union Station,13-Jul-19,141, $606.30 , $274.95 
Union Station,14-Jul-19,147, $485.10 , $139.65 
Union Station,15-Jul-19,101, $232.30 , $196.95 
Union Station,16-Jul-19,122, $549.00 , $201.30 
Union Station,17-Jul-19,69, $331.20 , $155.25 
Union Station,18-Jul-19,281, $730.60 , $688.45 
Union Station,19-Jul-19,190, $874.00 , $275.50 
Union Station,20-Jul-19,241, $698.90 , $566.35 
Union Station,21-Jul-19,11, $46.20 , $21.45 
Union Station,22-Jul-19,110, $396.00 , $236.50 
Union Station,23-Jul-19,212, $975.20 , $583.00 
Union Station,24-Jul-19,47, $131.60 , $82.25 
Union Station,25-Jul-19,25, $80.00 , $68.75 
Union Station,26-Jul-19,240, $840.00 , $636.00 
Union Station,27-Jul-19,98, $205.80 , $122.50 
Union Station,28-Jul-19,233, $699.00 , $198.05 
Union Station,29-Jul-19,20, $104.00 , $27.00 
Union Station,30-Jul-19,158, $726.80 , $292.30 
Union Station,31-Jul-19,169, $338.00 , $160.55 
Union Station,01-Aug-19,86, $283.80 , $193.50 
Union Station,02-Aug-19,208, $852.80 , $530.40 
Union Station,03-Aug-19,234," $1,146.60 ", $386.10 
Union Station,04-Aug-19,19, $72.20 , $46.55 
Union Station,05-Aug-19,70, $168.00 , $108.50 
Union Station,06-Aug-19,217, $455.70 , $423.15 
Union Station,07-Aug-19,73, $321.20 , $142.35 
Union Station,08-Aug-19,148, $547.60 , $155.40 
Union Station,09-Aug-19,240," $1,200.00 ", $516.00 
Union Station,10-Aug-19,231, $600.60 , $196.35 
Union Station,11-Aug-19,162, $502.20 , $429.30 
Union Station,12-Aug-19,151, $815.40 , $143.45 
Union Station,13-Aug-19,77, $354.20 , $96.25 
Union Station,14-Aug-19,262," $1,519.60 ", $510.90 
Union Station,15-Aug-19,43, $150.50 , $101.05 
Union Station,16-Aug-19,37, $96.20 , $72.15 
Union Station,17-Aug-19,167, $784.90 , $125.25 
Union Station,18-Aug-19,197," $1,182.00 ", $522.05 
Union Station,19-Aug-19,143, $486.20 , $107.25 
Union Station,20-Aug-19,251," $1,004.00 ", $564.75 
Union Station,21-Aug-19,218," $1,090.00 ", $207.10 
Union Station,22-Aug-19,143, $743.60 , $393.25 
Union Station,23-Aug-19,97, $378.30 , $169.75 
Union Station,24-Aug-19,190, $855.00 , $180.50 
Union Station,25-Aug-19,21, $84.00 , $34.65 
Union Station,26-Aug-19,145, $580.00 , $326.25 
Union Station,27-Aug-19,215, $838.50 , $268.75 
Union Station,28-Aug-19,172, $361.20 , $318.20 
Union Station,29-Aug-19,93, $269.70 , $209.25 
Union Station,30-Aug-19,217, $781.20 , $444.85 
Union Station,31-Aug-19,229," $1,076.30 ", $332.05 
Union Station,01-Sep-19,186, $725.40 , $158.10 
Union Station,02-Sep-19,204," $1,203.60 ", $540.60 
Union Station,03-Sep-19,75, $180.00 , $86.25 
Union Station,04-Sep-19,121, $290.40 , $139.15 
Union Station,05-Sep-19,234, $819.00 , $596.70 
Union Station,06-Sep-19,88, $202.40 , $198.00 
Union Station,07-Sep-19,194, $659.60 , $358.90 
Union Station,08-Sep-19,45, $189.00 , $78.75 
Union Station,09-Sep-19,174, $678.60 , $478.50 
Union Station,10-Sep-19,73, $255.50 , $120.45 
Union Station,11-Sep-19,123, $258.30 , $239.85 
Union Station,12-Sep-19,119, $547.40 , $184.45 
Union Station,13-Sep-19,181, $868.80 , $280.55 
Union Station,14-Sep-19,225," $1,170.00 ", $326.25 
Union Station,15-Sep-19,19, $38.00 , $40.85 
Union Station,16-Sep-19,255, $510.00 , $471.75 
Union Station,17-Sep-19,193, $965.00 , $472.85 
Union Station,18-Sep-19,19, $91.20 , $23.75 
Union Station,19-Sep-19,80, $256.00 , $156.00 
Union Station,20-Sep-19,279," $1,088.10 ", $292.95 
Union Station,21-Sep-19,163, $700.90 , $334.15 
Union Station,22-Sep-19,116, $649.60 , $237.80 
Union Station,23-Sep-19,105, $535.50 , $99.75 
Union Station,24-Sep-19,140, $756.00 , $189.00 
Union Station,25-Sep-19,258, $799.80 , $554.70 
Union Station,26-Sep-19,129, $503.10 , $251.55 
Union Station,27-Sep-19,185, $869.50 , $268.25 
Union Station,28-Sep-19,175, $595.00 , $446.25 
Union Station,29-Sep-19,241," $1,301.40 ", $445.85 
Union Station,30-Sep-19,225, $787.50 , $393.75 
Union Station,01-Oct-19,40, $92.00 , $94.00 
Union Station,02-Oct-19,230, $529.00 , $172.50 
Union Station,03-Oct-19,231," $1,339.80 ", $496.65 
Union Station,04-Oct-19,226, $519.80 , $169.50 
Union Station,05-Oct-19,219," $1,314.00 ", $229.95 
Union Station,06-Oct-19,123, $332.10 , $239.85 
Union Station,07-Oct-19,38, $117.80 , $39.90 
Union Station,08-Oct-19,49, $142.10 , $134.75 
Union Station,09-Oct-19,187, $804.10 , $196.35 
Union Station,10-Oct-19,188, $883.60 , $347.80 
Union Station,11-Oct-19,122, $610.00 , $262.30 
Union Station,12-Oct-19,289," $1,069.30 ", $650.25 
Union Station,13-Oct-19,177, $849.60 , $203.55 
Union Station,14-Oct-19,9, $50.40 , $20.25 
Union Station,15-Oct-19,102, $601.80 , $158.10 
Union Station,16-Oct-19,248, $496.00 , $582.80 
Union Station,17-Oct-19,72, $324.00 , $54.00 
Union Station,18-Oct-19,186, $613.80 , $251.10 
Union Station,19-Oct-19,222, $555.00 , $388.50 
Union Station,20-Oct-19,103, $401.70 , $97.85 
Union Station,21-Oct-19,10, $31.00 , $7.50 
Union Station,22-Oct-19,34, $170.00 , $52.70 
Union Station,23-Oct-19,51, $290.70 , $140.25 
Union Station,24-Oct-19,5, $27.50 , $8.25 
Union Station,25-Oct-19,177, $831.90 , $221.25 
Union Station,26-Oct-19,142, $653.20 , $120.70 
Union Station,27-Oct-19,185, $943.50 , $397.75 
Union Station,28-Oct-19,53, $312.70 , $71.55 
Union Station,29-Oct-19,71, $418.90 , $145.55 
Union Station,30-Oct-19,135, $337.50 , $303.75 
Union Station,31-Oct-19,250," $1,325.00 ", $537.50 
Union Station,01-Nov-19,163, $798.70 , $220.05 
Union Station,02-Nov-19,107, $363.80 , $283.55 
Union Station,03-Nov-19,267, $827.70 , $387.15 
Union Station,04-Nov-19,84, $319.20 , $155.40 
Union Station,05-Nov-19,190, $418.00 , $142.50 
Union Station,06-Nov-19,210, $777.00 , $346.50 
Union Station,07-Nov-19,250, $500.00 , $687.50 
Union Station,08-Nov-19,237," $1,090.20 ", $604.35 
Union Station,09-Nov-19,230, $874.00 , $402.50 
Union Station,10-Nov-19,84, $268.80 , $88.20 
Union Station,11-Nov-19,278, $556.00 , $403.10 
Union Station,12-Nov-19,104, $260.00 , $223.60 
Union Station,13-Nov-19,239, $573.60 , $346.55 
Union Station,14-Nov-19,88, $475.20 , $224.40 
Union Station,15-Nov-19,56, $280.00 , $42.00 
Union Station,16-Nov-19,209," $1,233.10 ", $303.05 
Union Station,17-Nov-19,144, $864.00 , $381.60 
Union Station,18-Nov-19,131, $419.20 , $334.05 
Union Station,19-Nov-19,40, $216.00 , $90.00 
Union Station,20-Nov-19,92, $239.20 , $105.80 
Union Station,21-Nov-19,98, $245.00 , $220.50 
Union Station,22-Nov-19,83, $224.10 , $161.85 
Union Station,23-Nov-19,144, $475.20 , $309.60 
Union Station,24-Nov-19,9, $19.80 , $8.55 
Union Station,25-Nov-19,275," $1,127.50 ", $453.75 
Union Station,26-Nov-19,104, $353.60 , $130.00 
Union Station,27-Nov-19,158, $395.00 , $371.30 
Union Station,28-Nov-19,170, $680.00 , $246.50 
Union Station,29-Nov-19,6, $18.60 , $14.10 
Union Station,30-Nov-19,209, $689.70 , $470.25 
Union Station,01-Dec-19,153, $795.60 , $283.05 
Union Station,02-Dec-19,33, $198.00 , $77.55 
Union Station,03-Dec-19,259," $1,320.90 ", $271.95 
Union Station,04-Dec-19,102, $367.20 , $249.90 
Union Station,05-Dec-19,122, $329.40 , $250.10 
Union Station,06-Dec-19,248, $793.60 , $235.60 
Union Station,07-Dec-19,87, $348.00 , $178.35 
Union Station,08-Dec-19,278," $1,362.20 ", $236.30 
Union Station,09-Dec-19,116, $580.00 , $179.80 
Union Station,10-Dec-19,4, $13.60 , $5.40 
Union Station,11-Dec-19,55, $159.50 , $74.25 
Union Station,12-Dec-19,273, $627.90 , $232.05 
Union Station,13-Dec-19,245," $1,225.00 ", $624.75 
Union Station,14-Dec-19,264, $792.00 , $224.40 
Union Station,15-Dec-19,271, $840.10 , $501.35 
Union Station,16-Dec-19,117, $339.30 , $251.55 
Union Station,17-Dec-19,281, $758.70 , $463.65 
Union Station,18-Dec-19,138, $634.80 , $200.10 
Union Station,19-Dec-19,161, $402.50 , $217.35 
Union Station,20-Dec-19,43, $129.00 , $58.05 
Union Station,21-Dec-19,135, $283.50 , $263.25 
Union Station,22-Dec-19,127, $355.60 , $349.25 
Union Station,23-Dec-19,39, $128.70 , $56.55 
Union Station,24-Dec-19,59, $283.20 , $115.05 
Union Station,25-Dec-19,87, $374.10 , $143.55 
Union Station,26-Dec-19,161, $338.10 , $426.65 
Union Station,27-Dec-19,241, $795.30 , $373.55 
Union Station,28-Dec-19,136, $625.60 , $197.20 
Union Station,29-Dec-19,143, $557.70 , $107.25 
Union Station,30-Dec-19,111, $477.30 , $127.65 
Union Station,31-Dec-19,83, $373.50 , $195.05 
