Truck Location,Date,Number of Sales, Sales total ,Daily Supply cost
Rogers Center,08-Mar-19,287," $1,722.00 ", $473.55 
Rogers Center,09-Mar-19,140, $518.00 , $161.00 
Rogers Center,10-Mar-19,120, $636.00 , $138.00 
Rogers Center,11-Mar-19,306," $1,560.60 ", $780.30 
Rogers Center,12-Mar-19,161, $740.60 , $378.35 
Rogers Center,13-Mar-19,168, $672.00 , $210.00 
Rogers Center,14-Mar-19,304," $1,459.20 ", $775.20 
Rogers Center,15-Mar-19,196, $999.60 , $441.00 
Rogers Center,16-Mar-19,21, $109.20 , $40.95 
Rogers Center,17-Mar-19,435," $2,305.50 ", $543.75 
Rogers Center,18-Mar-19,182, $782.60 , $318.50 
Rogers Center,19-Mar-19,502," $2,108.40 ", $727.90 
Rogers Center,20-Mar-19,272, $870.40 , $285.60 
Rogers Center,21-Mar-19,454," $2,315.40 "," $1,112.30 "
Rogers Center,22-Mar-19,212, $954.00 , $498.20 
Rogers Center,23-Mar-19,507," $2,332.20 ", $633.75 
Rogers Center,24-Mar-19,140, $770.00 , $259.00 
Rogers Center,25-Mar-19,123, $442.80 , $153.75 
Rogers Center,26-Mar-19,259, $828.80 , $634.55 
Rogers Center,27-Mar-19,280," $1,260.00 ", $266.00 
Rogers Center,28-Mar-19,191, $382.00 , $200.55 
Rogers Center,29-Mar-19,310," $1,085.00 ", $604.50 
Rogers Center,30-Mar-19,368, $883.20 , $423.20 
Rogers Center,31-Mar-19,535," $3,210.00 ", $401.25 
Rogers Center,01-Apr-19,464," $1,531.20 ", $394.40 
Rogers Center,02-Apr-19,254," $1,371.60 ", $266.70 
Rogers Center,03-Apr-19,539," $2,156.00 "," $1,104.95 "
Rogers Center,04-Apr-19,282, $930.60 , $324.30 
Rogers Center,05-Apr-19,195," $1,111.50 ", $497.25 
Rogers Center,06-Apr-19,548," $2,246.80 ", $465.80 
Rogers Center,07-Apr-19,449," $2,289.90 "," $1,010.25 "
Rogers Center,08-Apr-19,88, $176.00 , $154.00 
Rogers Center,09-Apr-19,318," $1,208.40 ", $810.90 
Rogers Center,10-Apr-19,142, $795.20 , $220.10 
Rogers Center,11-Apr-19,51, $142.80 , $58.65 
Rogers Center,12-Apr-19,316," $1,422.00 ", $774.20 
Rogers Center,13-Apr-19,368, $736.00 , $717.60 
Rogers Center,14-Apr-19,40, $236.00 , $90.00 
Rogers Center,15-Apr-19,510," $2,958.00 "," $1,147.50 "
Rogers Center,16-Apr-19,444," $1,687.20 ", $732.60 
Rogers Center,17-Apr-19,133, $651.70 , $179.55 
Rogers Center,18-Apr-19,162, $761.40 , $121.50 
Rogers Center,19-Apr-19,516," $2,476.80 ", $387.00 
Rogers Center,20-Apr-19,152, $866.40 , $372.40 
Rogers Center,21-Apr-19,24, $67.20 , $66.00 
Rogers Center,22-Apr-19,269, $753.20 , $336.25 
Rogers Center,23-Apr-19,345," $1,897.50 ", $327.75 
Rogers Center,24-Apr-19,96, $326.40 , $187.20 
Rogers Center,25-Apr-19,248," $1,116.00 ", $657.20 
Rogers Center,26-Apr-19,388," $2,095.20 ", $562.60 
Rogers Center,27-Apr-19,139, $778.40 , $173.75 
Rogers Center,28-Apr-19,159, $715.50 , $294.15 
Rogers Center,29-Apr-19,315," $1,039.50 ", $803.25 
Rogers Center,30-Apr-19,155, $496.00 , $147.25 
Rogers Center,01-May-19,511," $2,606.10 "," $1,251.95 "
Rogers Center,02-May-19,164, $902.00 , $369.00 
Rogers Center,03-May-19,171, $906.30 , $333.45 
Rogers Center,04-May-19,298," $1,579.40 ", $581.10 
Rogers Center,05-May-19,36, $187.20 , $73.80 
Rogers Center,06-May-19,437, $917.70 ," $1,201.75 "
Rogers Center,07-May-19,428," $1,926.00 ", $749.00 
Rogers Center,08-May-19,523," $1,725.90 ", $444.55 
Rogers Center,09-May-19,195, $838.50 , $204.75 
Rogers Center,10-May-19,21, $94.50 , $15.75 
Rogers Center,11-May-19,24, $127.20 , $44.40 
Rogers Center,12-May-19,201, $663.30 , $291.45 
Rogers Center,13-May-19,179, $537.00 , $402.75 
Rogers Center,14-May-19,417," $2,460.30 ", $479.55 
Rogers Center,15-May-19,142, $440.20 , $134.90 
Rogers Center,16-May-19,10, $59.00 , $9.50 
Rogers Center,17-May-19,315," $1,638.00 ", $299.25 
Rogers Center,18-May-19,198, $910.80 , $188.10 
Rogers Center,19-May-19,378," $1,738.80 ", $699.30 
Rogers Center,20-May-19,123, $651.90 , $264.45 
Rogers Center,21-May-19,341, $818.40 , $289.85 
Rogers Center,22-May-19,171, $974.70 , $316.35 
Rogers Center,23-May-19,457," $1,416.70 ", $616.95 
Rogers Center,24-May-19,409," $1,758.70 ", $552.15 
Rogers Center,25-May-19,545," $2,725.00 ", $899.25 
Rogers Center,26-May-19,198," $1,089.00 ", $524.70 
Rogers Center,27-May-19,358, $930.80 , $698.10 
Rogers Center,28-May-19,229, $480.90 , $400.75 
Rogers Center,29-May-19,200, $420.00 , $250.00 
Rogers Center,30-May-19,102, $295.80 , $280.50 
Rogers Center,31-May-19,550," $1,705.00 ", $522.50 
Rogers Center,01-Jun-19,376," $1,992.80 ", $319.60 
Rogers Center,02-Jun-19,89, $418.30 , $66.75 
Rogers Center,03-Jun-19,72, $381.60 , $140.40 
Rogers Center,04-Jun-19,223, $869.70 , $367.95 
Rogers Center,05-Jun-19,385," $1,270.50 ", $327.25 
Rogers Center,06-Jun-19,49, $240.10 , $105.35 
Rogers Center,07-Jun-19,192," $1,056.00 ", $355.20 
Rogers Center,08-Jun-19,545," $1,471.50 "," $1,280.75 "
Rogers Center,09-Jun-19,165, $577.50 , $140.25 
Rogers Center,10-Jun-19,109, $588.60 , $245.25 
Rogers Center,11-Jun-19,62, $291.40 , $133.30 
Rogers Center,12-Jun-19,65, $266.50 , $68.25 
Rogers Center,13-Jun-19,546," $2,948.40 "," $1,501.50 "
Rogers Center,14-Jun-19,480," $1,392.00 "," $1,080.00 "
Rogers Center,15-Jun-19,75, $292.50 , $191.25 
Rogers Center,16-Jun-19,156, $811.20 , $195.00 
Rogers Center,17-Jun-19,201," $1,145.70 ", $512.55 
Rogers Center,18-Jun-19,221, $884.00 , $320.45 
Rogers Center,19-Jun-19,247," $1,111.50 ", $531.05 
Rogers Center,20-Jun-19,491," $2,405.90 ", $957.45 
Rogers Center,21-Jun-19,71, $355.00 , $124.25 
Rogers Center,22-Jun-19,445," $1,735.50 "," $1,045.75 "
Rogers Center,23-Jun-19,126, $567.00 , $132.30 
Rogers Center,24-Jun-19,455," $1,501.50 ", $614.25 
Rogers Center,25-Jun-19,70, $385.00 , $185.50 
Rogers Center,26-Jun-19,248," $1,116.00 ", $533.20 
Rogers Center,27-Jun-19,273, $737.10 , $532.35 
Rogers Center,28-Jun-19,214, $577.80 , $524.30 
Rogers Center,29-Jun-19,281," $1,657.90 ", $519.85 
Rogers Center,30-Jun-19,222, $843.60 , $277.50 
Rogers Center,01-Jul-19,414," $1,780.20 "," $1,097.10 "
Rogers Center,02-Jul-19,208, $686.40 , $572.00 
Rogers Center,03-Jul-19,289," $1,213.80 ", $303.45 
Rogers Center,04-Jul-19,327," $1,438.80 ", $801.15 
Rogers Center,05-Jul-19,516," $2,476.80 "," $1,006.20 "
Rogers Center,06-Jul-19,121, $375.10 , $260.15 
Rogers Center,07-Jul-19,186, $520.80 , $437.10 
Rogers Center,08-Jul-19,225, $652.50 , $258.75 
Rogers Center,09-Jul-19,177, $973.50 , $398.25 
Rogers Center,10-Jul-19,65, $364.00 , $146.25 
Rogers Center,11-Jul-19,412," $1,565.60 ", $309.00 
Rogers Center,12-Jul-19,519," $1,349.40 ", $856.35 
Rogers Center,13-Jul-19,389, $933.60 , $875.25 
Rogers Center,14-Jul-19,134, $777.20 , $301.50 
Rogers Center,15-Jul-19,437," $1,704.30 ", $633.65 
Rogers Center,16-Jul-19,182, $746.20 , $427.70 
Rogers Center,17-Jul-19,182," $1,055.60 ", $263.90 
Rogers Center,18-Jul-19,402, $964.80 , $381.90 
Rogers Center,19-Jul-19,381, $990.60 , $666.75 
Rogers Center,20-Jul-19,553," $2,543.80 "," $1,465.45 "
Rogers Center,21-Jul-19,515," $1,854.00 "," $1,210.25 "
Rogers Center,22-Jul-19,459," $2,386.80 ", $344.25 
Rogers Center,23-Jul-19,130, $364.00 , $136.50 
Rogers Center,24-Jul-19,128, $396.80 , $339.20 
Rogers Center,25-Jul-19,143, $429.00 , $250.25 
Rogers Center,26-Jul-19,290," $1,508.00 ", $391.50 
Rogers Center,27-Jul-19,518," $1,398.60 ", $440.30 
Rogers Center,28-Jul-19,29, $81.20 , $71.05 
Rogers Center,29-Jul-19,18, $72.00 , $33.30 
Rogers Center,30-Jul-19,51, $255.00 , $130.05 
Rogers Center,31-Jul-19,502," $2,259.00 "," $1,229.90 "
Rogers Center,01-Aug-19,192, $460.80 , $297.60 
Rogers Center,02-Aug-19,447," $1,475.10 ", $424.65 
Rogers Center,03-Aug-19,178, $694.20 , $204.70 
Rogers Center,04-Aug-19,559," $2,068.30 ", $866.45 
Rogers Center,05-Aug-19,244," $1,146.80 ", $475.80 
Rogers Center,06-Aug-19,354," $1,274.40 ", $654.90 
Rogers Center,07-Aug-19,498," $2,041.80 "," $1,319.70 "
Rogers Center,08-Aug-19,461," $2,581.60 "," $1,267.75 "
Rogers Center,09-Aug-19,133, $438.90 , $192.85 
Rogers Center,10-Aug-19,101, $575.70 , $247.45 
Rogers Center,11-Aug-19,150, $750.00 , $412.50 
Rogers Center,12-Aug-19,61, $244.00 , $70.15 
Rogers Center,13-Aug-19,317, $634.00 , $618.15 
Rogers Center,14-Aug-19,362," $2,135.80 ", $416.30 
Rogers Center,15-Aug-19,412, $988.80 , $762.20 
Rogers Center,16-Aug-19,64, $204.80 , $48.00 
Rogers Center,17-Aug-19,557," $3,063.50 ", $417.75 
Rogers Center,18-Aug-19,314," $1,036.20 ", $612.30 
Rogers Center,19-Aug-19,516," $1,909.20 ", $490.20 
Rogers Center,20-Aug-19,417," $1,584.60 ", $437.85 
Rogers Center,21-Aug-19,477," $1,287.90 ", $357.75 
Rogers Center,22-Aug-19,143, $800.80 , $135.85 
Rogers Center,23-Aug-19,167, $651.30 , $425.85 
Rogers Center,24-Aug-19,44, $145.20 , $90.20 
Rogers Center,25-Aug-19,189, $850.50 , $349.65 
Rogers Center,26-Aug-19,426," $2,130.00 ", $660.30 
Rogers Center,27-Aug-19,338, $878.80 , $895.70 
Rogers Center,28-Aug-19,235, $822.50 , $176.25 
Rogers Center,29-Aug-19,276, $745.20 , $565.80 
Rogers Center,30-Aug-19,370," $1,850.00 ", $906.50 
Rogers Center,31-Aug-19,86, $180.60 , $236.50 
Rogers Center,01-Sep-19,166, $879.80 , $224.10 
Rogers Center,02-Sep-19,283, $735.80 , $466.95 
Rogers Center,03-Sep-19,63, $239.40 , $66.15 
Rogers Center,04-Sep-19,322," $1,706.60 ", $499.10 
Rogers Center,05-Sep-19,353," $1,059.00 ", $864.85 
Rogers Center,06-Sep-19,427," $2,562.00 ", $362.95 
Rogers Center,07-Sep-19,215," $1,268.50 ", $548.25 
Rogers Center,08-Sep-19,124, $595.20 , $142.60 
Rogers Center,09-Sep-19,297," $1,485.00 ", $608.85 
Rogers Center,10-Sep-19,14, $43.40 , $27.30 
Rogers Center,11-Sep-19,478," $2,246.60 "," $1,266.70 "
Rogers Center,12-Sep-19,524," $2,305.60 "," $1,074.20 "
Rogers Center,13-Sep-19,426," $1,448.40 ", $788.10 
Rogers Center,14-Sep-19,6, $14.40 , $4.50 
Rogers Center,15-Sep-19,234," $1,006.20 ", $198.90 
Rogers Center,16-Sep-19,84, $168.00 , $197.40 
Rogers Center,17-Sep-19,270, $648.00 , $391.50 
Rogers Center,18-Sep-19,409," $1,431.50 ", $715.75 
Rogers Center,19-Sep-19,237," $1,137.60 ", $343.65 
Rogers Center,20-Sep-19,384," $1,075.20 ", $364.80 
Rogers Center,21-Sep-19,554," $1,108.00 ", $969.50 
Rogers Center,22-Sep-19,159, $461.10 , $119.25 
Rogers Center,23-Sep-19,545," $2,561.50 ", $735.75 
Rogers Center,24-Sep-19,120, $432.00 , $234.00 
Rogers Center,25-Sep-19,223, $624.40 , $323.35 
Rogers Center,26-Sep-19,323," $1,647.30 ", $759.05 
Rogers Center,27-Sep-19,65, $266.50 , $152.75 
Rogers Center,28-Sep-19,27, $124.20 , $68.85 
Rogers Center,29-Sep-19,66, $330.00 , $174.90 
Rogers Center,30-Sep-19,439," $1,317.00 ", $373.15 
Rogers Center,01-Oct-19,203, $872.90 , $537.95 
Rogers Center,02-Oct-19,394," $1,694.20 ", $886.50 
Rogers Center,03-Oct-19,167, $985.30 , $275.55 
Rogers Center,04-Oct-19,358, $787.60 , $447.50 
Rogers Center,05-Oct-19,266, $904.40 , $359.10 
Rogers Center,06-Oct-19,545," $2,997.50 ", $517.75 
Rogers Center,07-Oct-19,459," $2,754.00 ", $803.25 
Rogers Center,08-Oct-19,543," $2,009.10 "," $1,004.55 "
Rogers Center,09-Oct-19,97, $582.00 , $111.55 
Rogers Center,10-Oct-19,288," $1,497.60 ", $763.20 
Rogers Center,11-Oct-19,270," $1,539.00 ", $553.50 
Rogers Center,12-Oct-19,418," $2,340.80 ", $856.90 
Rogers Center,13-Oct-19,25, $90.00 , $38.75 
Rogers Center,14-Oct-19,507," $1,115.40 ", $988.65 
Rogers Center,15-Oct-19,96, $259.20 , $225.60 
Rogers Center,16-Oct-19,459," $1,101.60 ", $619.65 
Rogers Center,17-Oct-19,471," $1,224.60 ", $965.55 
Rogers Center,18-Oct-19,81, $218.70 , $125.55 
Rogers Center,19-Oct-19,94, $498.20 , $202.10 
Rogers Center,20-Oct-19,455," $2,502.50 "," $1,114.75 "
Rogers Center,21-Oct-19,160, $832.00 , $232.00 
Rogers Center,22-Oct-19,382," $2,177.40 "," $1,012.30 "
Rogers Center,23-Oct-19,479," $2,778.20 ", $598.75 
Rogers Center,24-Oct-19,67, $381.90 , $130.65 
Rogers Center,25-Oct-19,554," $2,216.00 ", $858.70 
Rogers Center,26-Oct-19,249, $572.70 , $361.05 
Rogers Center,27-Oct-19,258, $877.20 , $528.90 
Rogers Center,28-Oct-19,99, $495.00 , $143.55 
Rogers Center,29-Oct-19,429," $1,801.80 ", $622.05 
Rogers Center,30-Oct-19,559," $1,621.10 "," $1,313.65 "
Rogers Center,31-Oct-19,304, $881.60 , $349.60 
Rogers Center,01-Nov-19,438," $1,138.80 ", $459.90 
Rogers Center,02-Nov-19,138, $621.00 , $241.50 
Rogers Center,03-Nov-19,202, $929.20 , $151.50 
Rogers Center,04-Nov-19,271," $1,273.70 ", $691.05 
Rogers Center,05-Nov-19,398, $995.00 , $656.70 
Rogers Center,06-Nov-19,396," $1,386.00 ", $574.20 
Rogers Center,07-Nov-19,328," $1,836.80 ", $803.60 
Rogers Center,08-Nov-19,518," $1,398.60 ", $647.50 
Rogers Center,09-Nov-19,286," $1,229.80 ", $757.90 
Rogers Center,10-Nov-19,148, $710.40 , $125.80 
Rogers Center,11-Nov-19,474," $2,275.20 "," $1,113.90 "
Rogers Center,12-Nov-19,62, $198.40 , $58.90 
Rogers Center,13-Nov-19,93, $334.80 , $116.25 
Rogers Center,14-Nov-19,290," $1,305.00 ", $333.50 
Rogers Center,15-Nov-19,157, $737.90 , $416.05 
Rogers Center,16-Nov-19,5, $22.00 , $9.25 
Rogers Center,17-Nov-19,370," $1,813.00 ", $684.50 
Rogers Center,18-Nov-19,522," $1,983.60 ", $809.10 
Rogers Center,19-Nov-19,424," $1,908.00 ", $614.80 
Rogers Center,20-Nov-19,373," $1,156.30 ", $727.35 
Rogers Center,21-Nov-19,539," $1,185.80 "," $1,374.45 "
Rogers Center,22-Nov-19,411," $1,109.70 ", $472.65 
Rogers Center,23-Nov-19,73, $379.60 , $98.55 
Rogers Center,24-Nov-19,523," $2,248.90 "," $1,019.85 "
Rogers Center,25-Nov-19,325," $1,787.50 ", $276.25 
Rogers Center,26-Nov-19,363," $1,742.40 ", $707.85 
Rogers Center,27-Nov-19,505," $1,060.50 ", $681.75 
Rogers Center,28-Nov-19,156, $842.40 , $132.60 
Rogers Center,29-Nov-19,162, $388.80 , $380.70 
Rogers Center,30-Nov-19,509," $1,170.70 "," $1,094.35 "
Rogers Center,01-Dec-19,403," $1,732.90 ", $624.65 
Rogers Center,02-Dec-19,326," $1,108.40 ", $831.30 
Rogers Center,03-Dec-19,187," $1,084.60 ", $495.55 
Rogers Center,04-Dec-19,350," $1,960.00 ", $927.50 
Rogers Center,05-Dec-19,66, $330.00 , $181.50 
Rogers Center,06-Dec-19,114, $364.80 , $96.90 
Rogers Center,07-Dec-19,51, $112.20 , $119.85 
Rogers Center,08-Dec-19,260," $1,066.00 ", $611.00 
Rogers Center,09-Dec-19,527," $1,581.00 "," $1,238.45 "
Rogers Center,10-Dec-19,63, $365.40 , $66.15 
Rogers Center,11-Dec-19,549," $2,250.90 ", $466.65 
Rogers Center,12-Dec-19,558," $2,845.80 "," $1,422.90 "
Rogers Center,13-Dec-19,42, $252.00 , $60.90 
Rogers Center,14-Dec-19,422," $1,730.20 ", $780.70 
Rogers Center,15-Dec-19,475," $1,282.50 ", $926.25 
Rogers Center,16-Dec-19,88, $281.60 , $198.00 
Rogers Center,17-Dec-19,445," $1,290.50 ", $467.25 
Rogers Center,18-Dec-19,321," $1,187.70 ", $722.25 
Rogers Center,19-Dec-19,294, $764.40 , $720.30 
Rogers Center,20-Dec-19,274," $1,424.80 ", $424.70 
Rogers Center,21-Dec-19,18, $54.00 , $26.10 
Rogers Center,22-Dec-19,445," $2,091.50 ", $734.25 
Rogers Center,23-Dec-19,393," $1,886.40 ", $962.85 
Rogers Center,24-Dec-19,410, $820.00 , $635.50 
Rogers Center,25-Dec-19,188, $658.00 , $272.60 
Rogers Center,26-Dec-19,289, $664.70 , $708.05 
Rogers Center,27-Dec-19,265," $1,060.00 ", $384.25 
Rogers Center,28-Dec-19,383," $1,187.30 ", $363.85 
Rogers Center,29-Dec-19,63, $264.60 , $166.95 
Rogers Center,30-Dec-19,143, $471.90 , $121.55 
Rogers Center,31-Dec-19,423," $2,284.20 ", $401.85 
