Truck Location,Date,Number of Sales, Sales total ,Daily Supply cost
Distillery District,04-Mar-19,120, $480.00 , $150.00 
Distillery District,05-Mar-19,80, $360.00 , $116.00 
Distillery District,06-Mar-19,105, $441.00 , $204.75 
Distillery District,07-Mar-19,36, $122.40 , $84.60 
Distillery District,08-Mar-19,48, $201.60 , $112.80 
Distillery District,09-Mar-19,118, $365.80 , $253.70 
Distillery District,10-Mar-19,59, $336.30 , $162.25 
Distillery District,11-Mar-19,106, $286.20 , $217.30 
Distillery District,12-Mar-19,94, $470.00 , $117.50 
Distillery District,13-Mar-19,100, $330.00 , $165.00 
Distillery District,14-Mar-19,66, $237.60 , $56.10 
Distillery District,15-Mar-19,6, $34.80 , $6.90 
Distillery District,16-Mar-19,26, $111.80 , $58.50 
Distillery District,17-Mar-19,110, $253.00 , $159.50 
Distillery District,18-Mar-19,7, $20.30 , $15.75 
Distillery District,19-Mar-19,133, $359.10 , $113.05 
Distillery District,20-Mar-19,78, $202.80 , $144.30 
Distillery District,21-Mar-19,21, $65.10 , $34.65 
Distillery District,22-Mar-19,103, $360.50 , $128.75 
Distillery District,23-Mar-19,85, $476.00 , $208.25 
Distillery District,24-Mar-19,74, $333.00 , $107.30 
Distillery District,25-Mar-19,94, $206.80 , $126.90 
Distillery District,26-Mar-19,131, $655.00 , $242.35 
Distillery District,27-Mar-19,131, $707.40 , $242.35 
Distillery District,28-Mar-19,43, $154.80 , $105.35 
Distillery District,29-Mar-19,14, $29.40 , $18.90 
Distillery District,30-Mar-19,12, $60.00 , $13.80 
Distillery District,31-Mar-19,53, $233.20 , $135.15 
Distillery District,01-Apr-19,24, $88.80 , $34.80 
Distillery District,02-Apr-19,86, $344.00 , $184.90 
Distillery District,03-Apr-19,59, $224.20 , $115.05 
Distillery District,04-Apr-19,75, $435.00 , $93.75 
Distillery District,05-Apr-19,86, $240.80 , $176.30 
Distillery District,06-Apr-19,77, $354.20 , $119.35 
Distillery District,07-Apr-19,54, $280.80 , $148.50 
Distillery District,08-Apr-19,65, $351.00 , $139.75 
Distillery District,09-Apr-19,57, $239.40 , $116.85 
Distillery District,10-Apr-19,91, $364.00 , $113.75 
Distillery District,11-Apr-19,10, $56.00 , $22.50 
Distillery District,12-Apr-19,59, $259.60 , $138.65 
Distillery District,13-Apr-19,77, $207.90 , $134.75 
Distillery District,14-Apr-19,139, $319.70 , $312.75 
Distillery District,15-Apr-19,35, $143.50 , $36.75 
Distillery District,16-Apr-19,40, $132.00 , $106.00 
Distillery District,17-Apr-19,62, $167.40 , $158.10 
Distillery District,18-Apr-19,38, $228.00 , $62.70 
Distillery District,19-Apr-19,68, $224.40 , $187.00 
Distillery District,20-Apr-19,24, $103.20 , $44.40 
Distillery District,21-Apr-19,79, $363.40 , $75.05 
Distillery District,22-Apr-19,42, $222.60 , $77.70 
Distillery District,23-Apr-19,105, $462.00 , $225.75 
Distillery District,24-Apr-19,126, $378.00 , $119.70 
Distillery District,25-Apr-19,134, $495.80 , $180.90 
Distillery District,26-Apr-19,65, $162.50 , $146.25 
Distillery District,27-Apr-19,97, $446.20 , $169.75 
Distillery District,28-Apr-19,12, $57.60 , $31.80 
Distillery District,29-Apr-19,132, $382.80 , $138.60 
Distillery District,30-Apr-19,120, $420.00 , $222.00 
Distillery District,01-May-19,83, $498.00 , $120.35 
Distillery District,02-May-19,50, $225.00 , $132.50 
Distillery District,03-May-19,36, $147.60 , $63.00 
Distillery District,04-May-19,60, $342.00 , $105.00 
Distillery District,05-May-19,73, $146.00 , $142.35 
Distillery District,06-May-19,107, $310.30 , $262.15 
Distillery District,07-May-19,131, $602.60 , $189.95 
Distillery District,08-May-19,132, $607.20 , $112.20 
Distillery District,09-May-19,110, $649.00 , $302.50 
Distillery District,10-May-19,57, $302.10 , $105.45 
Distillery District,11-May-19,61, $317.20 , $118.95 
Distillery District,12-May-19,5, $25.00 , $13.75 
Distillery District,13-May-19,56, $296.80 , $154.00 
Distillery District,14-May-19,28, $81.20 , $63.00 
Distillery District,15-May-19,31, $142.60 , $38.75 
Distillery District,16-May-19,108, $442.80 , $221.40 
Distillery District,17-May-19,78, $249.60 , $167.70 
Distillery District,18-May-19,42, $193.20 , $86.10 
Distillery District,19-May-19,15, $54.00 , $24.75 
Distillery District,20-May-19,114, $638.40 , $96.90 
Distillery District,21-May-19,104, $520.00 , $182.00 
Distillery District,22-May-19,70, $406.00 , $115.50 
Distillery District,23-May-19,94, $253.80 , $202.10 
Distillery District,24-May-19,59, $118.00 , $103.25 
Distillery District,25-May-19,140, $756.00 , $357.00 
Distillery District,26-May-19,117, $479.70 , $122.85 
Distillery District,27-May-19,57, $302.10 , $99.75 
Distillery District,28-May-19,94, $263.20 , $220.90 
Distillery District,29-May-19,139, $722.80 , $118.15 
Distillery District,30-May-19,95, $361.00 , $90.25 
Distillery District,31-May-19,111, $233.10 , $260.85 
Distillery District,01-Jun-19,111, $577.20 , $238.65 
Distillery District,02-Jun-19,94, $300.80 , $98.70 
Distillery District,03-Jun-19,86, $404.20 , $193.50 
Distillery District,04-Jun-19,48, $259.20 , $127.20 
Distillery District,05-Jun-19,86, $292.40 , $202.10 
Distillery District,06-Jun-19,90, $180.00 , $220.50 
Distillery District,07-Jun-19,68, $367.20 , $105.40 
Distillery District,08-Jun-19,14, $30.80 , $38.50 
Distillery District,09-Jun-19,113, $226.00 , $152.55 
Distillery District,10-Jun-19,22, $85.80 , $34.10 
Distillery District,11-Jun-19,42, $92.40 , $60.90 
Distillery District,12-Jun-19,74, $340.40 , $159.10 
Distillery District,13-Jun-19,125, $462.50 , $106.25 
Distillery District,14-Jun-19,65, $130.00 , $139.75 
Distillery District,15-Jun-19,39, $148.20 , $40.95 
Distillery District,16-Jun-19,16, $78.40 , $20.00 
Distillery District,17-Jun-19,53, $238.50 , $98.05 
Distillery District,18-Jun-19,91, $509.60 , $204.75 
Distillery District,19-Jun-19,91, $482.30 , $186.55 
Distillery District,20-Jun-19,84, $260.40 , $113.40 
Distillery District,21-Jun-19,83, $489.70 , $70.55 
Distillery District,22-Jun-19,26, $122.20 , $66.30 
Distillery District,23-Jun-19,59, $206.50 , $79.65 
Distillery District,24-Jun-19,117, $538.20 , $181.35 
Distillery District,25-Jun-19,74, $222.00 , $92.50 
Distillery District,26-Jun-19,79, $173.80 , $201.45 
Distillery District,27-Jun-19,63, $207.90 , $72.45 
Distillery District,28-Jun-19,98, $519.40 , $240.10 
Distillery District,29-Jun-19,16, $54.40 , $36.00 
Distillery District,30-Jun-19,88, $237.60 , $198.00 
Distillery District,01-Jul-19,39, $85.80 , $37.05 
Distillery District,02-Jul-19,115, $402.50 , $132.25 
Distillery District,03-Jul-19,128, $729.60 , $147.20 
Distillery District,04-Jul-19,114, $467.40 , $245.10 
Distillery District,05-Jul-19,29, $165.30 , $73.95 
Distillery District,06-Jul-19,116, $278.40 , $121.80 
Distillery District,07-Jul-19,119, $321.30 , $136.85 
Distillery District,08-Jul-19,86, $266.60 , $124.70 
Distillery District,09-Jul-19,106, $540.60 , $249.10 
Distillery District,10-Jul-19,39, $101.40 , $103.35 
Distillery District,11-Jul-19,109, $436.00 , $277.95 
Distillery District,12-Jul-19,93, $502.20 , $209.25 
Distillery District,13-Jul-19,36, $183.60 , $27.00 
Distillery District,14-Jul-19,78, $280.80 , $74.10 
Distillery District,15-Jul-19,92, $239.20 , $188.60 
Distillery District,16-Jul-19,87, $304.50 , $100.05 
Distillery District,17-Jul-19,57, $279.30 , $48.45 
Distillery District,18-Jul-19,58, $162.40 , $118.90 
Distillery District,19-Jul-19,55, $330.00 , $79.75 
Distillery District,20-Jul-19,121, $338.80 , $332.75 
Distillery District,21-Jul-19,67, $227.80 , $63.65 
Distillery District,22-Jul-19,23, $78.20 , $54.05 
Distillery District,23-Jul-19,24, $127.20 , $27.60 
Distillery District,24-Jul-19,84, $445.20 , $105.00 
Distillery District,25-Jul-19,89, $213.60 , $137.95 
Distillery District,26-Jul-19,77, $284.90 , $142.45 
Distillery District,27-Jul-19,71, $227.20 , $67.45 
Distillery District,28-Jul-19,91, $418.60 , $150.15 
Distillery District,29-Jul-19,79, $379.20 , $193.55 
Distillery District,30-Jul-19,92, $469.20 , $216.20 
Distillery District,31-Jul-19,34, $193.80 , $32.30 
Distillery District,01-Aug-19,112, $414.40 , $128.80 
Distillery District,02-Aug-19,90, $414.00 , $94.50 
Distillery District,03-Aug-19,40, $176.00 , $90.00 
Distillery District,04-Aug-19,3, $9.00 , $5.85 
Distillery District,05-Aug-19,22, $96.80 , $23.10 
Distillery District,06-Aug-19,107, $278.20 , $251.45 
Distillery District,07-Aug-19,111, $621.60 , $172.05 
Distillery District,08-Aug-19,4, $17.20 , $7.40 
Distillery District,09-Aug-19,76, $159.60 , $148.20 
Distillery District,10-Aug-19,41, $106.60 , $30.75 
Distillery District,11-Aug-19,116, $278.40 , $307.40 
Distillery District,12-Aug-19,125, $637.50 , $218.75 
Distillery District,13-Aug-19,61, $183.00 , $100.65 
Distillery District,14-Aug-19,56, $207.20 , $58.80 
Distillery District,15-Aug-19,112, $481.60 , $296.80 
Distillery District,16-Aug-19,53, $318.00 , $145.75 
Distillery District,17-Aug-19,4, $22.00 , $9.00 
Distillery District,18-Aug-19,94, $394.80 , $98.70 
Distillery District,19-Aug-19,87, $461.10 , $134.85 
Distillery District,20-Aug-19,48, $115.20 , $88.80 
Distillery District,21-Aug-19,97, $543.20 , $247.35 
Distillery District,22-Aug-19,59, $118.00 , $85.55 
Distillery District,23-Aug-19,78, $156.00 , $159.90 
Distillery District,24-Aug-19,44, $246.40 , $90.20 
Distillery District,25-Aug-19,88, $352.00 , $154.00 
Distillery District,26-Aug-19,43, $202.10 , $75.25 
Distillery District,27-Aug-19,61, $219.60 , $118.95 
Distillery District,28-Aug-19,61, $317.20 , $57.95 
Distillery District,29-Aug-19,110, $308.00 , $93.50 
Distillery District,30-Aug-19,34, $197.20 , $90.10 
Distillery District,31-Aug-19,92, $349.60 , $142.60 
Distillery District,01-Sep-19,67, $174.20 , $110.55 
Distillery District,02-Sep-19,64, $364.80 , $73.60 
Distillery District,03-Sep-19,116, $475.60 , $87.00 
Distillery District,04-Sep-19,126, $504.00 , $296.10 
Distillery District,05-Sep-19,57, $159.60 , $48.45 
Distillery District,06-Sep-19,128, $486.40 , $224.00 
Distillery District,07-Sep-19,22, $50.60 , $34.10 
Distillery District,08-Sep-19,51, $198.90 , $58.65 
Distillery District,09-Sep-19,114, $410.40 , $313.50 
Distillery District,10-Sep-19,101, $272.70 , $277.75 
Distillery District,11-Sep-19,107, $588.50 , $219.35 
Distillery District,12-Sep-19,51, $122.40 , $130.05 
Distillery District,13-Sep-19,69, $345.00 , $72.45 
Distillery District,14-Sep-19,55, $148.50 , $129.25 
Distillery District,15-Sep-19,78, $382.20 , $58.50 
Distillery District,16-Sep-19,79, $165.90 , $75.05 
Distillery District,17-Sep-19,70, $364.00 , $94.50 
Distillery District,18-Sep-19,26, $96.20 , $32.50 
Distillery District,19-Sep-19,89, $516.20 , $218.05 
Distillery District,20-Sep-19,24, $98.40 , $25.20 
Distillery District,21-Sep-19,16, $60.80 , $37.60 
Distillery District,22-Sep-19,128, $640.00 , $300.80 
Distillery District,23-Sep-19,11, $39.60 , $18.15 
Distillery District,24-Sep-19,76, $418.00 , $79.80 
Distillery District,25-Sep-19,31, $186.00 , $79.05 
Distillery District,26-Sep-19,33, $178.20 , $37.95 
Distillery District,27-Sep-19,86, $223.60 , $159.10 
Distillery District,28-Sep-19,134, $321.60 , $207.70 
Distillery District,29-Sep-19,86, $344.00 , $64.50 
Distillery District,30-Sep-19,75, $397.50 , $206.25 
Distillery District,01-Oct-19,119, $297.50 , $315.35 
Distillery District,02-Oct-19,137, $657.60 , $294.55 
Distillery District,03-Oct-19,69, $358.80 , $93.15 
Distillery District,04-Oct-19,9, $50.40 , $8.55 
Distillery District,05-Oct-19,93, $372.00 , $153.45 
Distillery District,06-Oct-19,115, $368.00 , $166.75 
Distillery District,07-Oct-19,103, $226.60 , $169.95 
Distillery District,08-Oct-19,61, $335.50 , $155.55 
Distillery District,09-Oct-19,37, $99.90 , $35.15 
Distillery District,10-Oct-19,31, $89.90 , $38.75 
Distillery District,11-Oct-19,133, $266.00 , $365.75 
Distillery District,12-Oct-19,15, $45.00 , $11.25 
Distillery District,13-Oct-19,83, $190.90 , $228.25 
Distillery District,14-Oct-19,46, $96.60 , $108.10 
Distillery District,15-Oct-19,50, $250.00 , $122.50 
Distillery District,16-Oct-19,55, $319.00 , $101.75 
Distillery District,17-Oct-19,134, $562.80 , $207.70 
Distillery District,18-Oct-19,5, $24.50 , $8.75 
Distillery District,19-Oct-19,74, $244.20 , $77.70 
Distillery District,20-Oct-19,113, $237.30 , $175.15 
Distillery District,21-Oct-19,96, $460.80 , $168.00 
Distillery District,22-Oct-19,113, $248.60 , $96.05 
Distillery District,23-Oct-19,12, $56.40 , $11.40 
Distillery District,24-Oct-19,51, $285.60 , $119.85 
Distillery District,25-Oct-19,136, $312.80 , $319.60 
Distillery District,26-Oct-19,74, $421.80 , $92.50 
Distillery District,27-Oct-19,10, $25.00 , $8.50 
Distillery District,28-Oct-19,24, $60.00 , $22.80 
Distillery District,29-Oct-19,136, $544.00 , $197.20 
Distillery District,30-Oct-19,67, $187.60 , $56.95 
Distillery District,31-Oct-19,93, $297.60 , $255.75 
Distillery District,01-Nov-19,65, $364.00 , $48.75 
Distillery District,02-Nov-19,40, $172.00 , $34.00 
Distillery District,03-Nov-19,43, $202.10 , $36.55 
Distillery District,04-Nov-19,84, $285.60 , $189.00 
Distillery District,05-Nov-19,94, $545.20 , $89.30 
Distillery District,06-Nov-19,101, $212.10 , $85.85 
Distillery District,07-Nov-19,61, $359.90 , $155.55 
Distillery District,08-Nov-19,48, $259.20 , $55.20 
Distillery District,09-Nov-19,68, $353.60 , $125.80 
Distillery District,10-Nov-19,26, $75.40 , $48.10 
Distillery District,11-Nov-19,66, $270.60 , $141.90 
Distillery District,12-Nov-19,59, $118.00 , $103.25 
Distillery District,13-Nov-19,37, $192.40 , $31.45 
Distillery District,14-Nov-19,6, $16.20 , $11.70 
Distillery District,15-Nov-19,36, $136.80 , $59.40 
Distillery District,16-Nov-19,60, $294.00 , $69.00 
Distillery District,17-Nov-19,83, $315.40 , $161.85 
Distillery District,18-Nov-19,120, $696.00 , $282.00 
Distillery District,19-Nov-19,81, $315.90 , $190.35 
Distillery District,20-Nov-19,25, $85.00 , $66.25 
Distillery District,21-Nov-19,17, $61.20 , $14.45 
Distillery District,22-Nov-19,25, $57.50 , $48.75 
Distillery District,23-Nov-19,132, $277.20 , $283.80 
Distillery District,24-Nov-19,35, $91.00 , $82.25 
Distillery District,25-Nov-19,121, $701.80 , $211.75 
Distillery District,26-Nov-19,85, $280.50 , $63.75 
Distillery District,27-Nov-19,49, $254.80 , $85.75 
Distillery District,28-Nov-19,20, $116.00 , $29.00 
Distillery District,29-Nov-19,60, $144.00 , $123.00 
Distillery District,30-Nov-19,71, $298.20 , $181.05 
Distillery District,01-Dec-19,45, $94.50 , $51.75 
Distillery District,02-Dec-19,21, $54.60 , $22.05 
Distillery District,03-Dec-19,43, $180.60 , $53.75 
Distillery District,04-Dec-19,23, $50.60 , $40.25 
Distillery District,05-Dec-19,126, $352.80 , $157.50 
Distillery District,06-Dec-19,20, $110.00 , $27.00 
Distillery District,07-Dec-19,80, $352.00 , $116.00 
Distillery District,08-Dec-19,48, $273.60 , $50.40 
Distillery District,09-Dec-19,19, $89.30 , $25.65 
Distillery District,10-Dec-19,94, $413.60 , $230.30 
Distillery District,11-Dec-19,85, $365.50 , $174.25 
Distillery District,12-Dec-19,61, $268.40 , $88.45 
Distillery District,13-Dec-19,103, $339.90 , $272.95 
Distillery District,14-Dec-19,118, $448.40 , $312.70 
Distillery District,15-Dec-19,80, $368.00 , $156.00 
Distillery District,16-Dec-19,57, $250.80 , $105.45 
Distillery District,17-Dec-19,82, $426.40 , $209.10 
Distillery District,18-Dec-19,68, $306.00 , $139.40 
Distillery District,19-Dec-19,32, $124.80 , $27.20 
Distillery District,20-Dec-19,111, $432.90 , $138.75 
Distillery District,21-Dec-19,82, $229.60 , $110.70 
Distillery District,22-Dec-19,111, $233.10 , $227.55 
Distillery District,23-Dec-19,110, $627.00 , $104.50 
Distillery District,24-Dec-19,140, $812.00 , $273.00 
Distillery District,25-Dec-19,40, $100.00 , $74.00 
Distillery District,26-Dec-19,65, $227.50 , $113.75 
Distillery District,27-Dec-19,128, $486.40 , $224.00 
Distillery District,28-Dec-19,3, $13.20 , $6.45 
Distillery District,29-Dec-19,33, $145.20 , $90.75 
Distillery District,30-Dec-19,58, $214.60 , $72.50 
Distillery District,31-Dec-19,119, $654.50 , $160.65 
